Id,price,volume
0,99.82,0
1,99.89,0
2,100,0
3,100,0
4,100,0
5,100,0
6,100,0
7,100,0
8,100,0
9,100,0
10,100,0
11,100,0
12,100,0
13,100,0
14,100,0
15,100,0
16,100.03,1.0
17,100.03,0
18,100.03,0
19,100.03,0
20,100.03,0
21,100.03,0
22,100.03,0
23,100.03,0
24,100.03,0
25,100.03,0
26,100.03,0
27,100.03,0
28,100.03,0
29,100.03,0
30,100.03,0
31,100.03,0
32,100.03,0
33,100.03,0
34,100.06,4.0
35,100.06,0
36,100.06,0
37,100.06,0
38,100.06,0
39,100.06,0
40,100.06,0
41,100.06,0
42,100.06,0
43,100.06,0
44,100.06,0
45,100.06,0
46,100.07,6.0
47,100.0,1114.0
48,100.08,11.0
49,100.08,0
50,100.08,0
51,100.08,0
52,100.04,2.0
53,100.04,0
54,100.04,0
55,100.04,0
56,100.04,0
57,100.04,0
58,100.04,0
59,100.02,1.0
60,100.02,0
61,100.02,0
62,100.02,0
63,100.02,0
64,100.06,95422.0
65,100.06,0
66,100.06,0
67,100.06,0
68,100.06,0
69,100.06,0
70,100.06,0
71,100.06,0
72,100.06,0
73,100.06,0
74,100.06,0
75,100.06,0
76,100.06,1106.0
77,100.06,0
78,100.06,0
79,100.06,0
80,100.06,0
81,100.06,0
82,100.06,0
83,100.06,0
84,100.06,0
85,100.06,0
86,100.06,0
87,100.06,0
88,100.06,0
89,100.06,0
90,100.07,20.0
91,100.07,0
92,100.07,0
93,100.07,0
94,100.07,0
95,100.07,0
96,100.07,0
97,100.07,0
98,100.07,0
99,100.07,0
100,100.07,0
101,100.07,0
102,100.07,0
103,100.07,0
104,100.07,0
105,100.07,0
106,100.07,0
107,100.07,0
108,100.07,0
109,100.07,0
110,100.07,0
111,100.1,1135.0
112,100.1,0
113,100.1,0
114,100.1,0
115,100.1,0
116,100.1,0
117,100.1,0
118,100.1,0
119,100.1,0
120,100.1,0
121,100.1,0
122,100.1,0
123,100.08,6.0
124,100.08,0
125,100.08,0
126,100.08,0
127,100.08,0
128,100.08,0
129,100.08,0
130,100.08,0
131,100.08,0
132,100.08,0
133,100.08,0
134,100.08,0
135,100.08,0
136,100.08,0
137,100.08,0
138,100.08,0
139,100.08,0
140,100.08,0
141,100.08,0
142,100.08,0
143,100.08,0
144,100.09,1114.0
145,100.09,0
146,100.09,0
147,100.09,1104.0
148,100.09,0
149,100.09,0
150,100.09,0
151,100.09,0
152,100.09,0
153,100.09,0
154,100.09,0
155,100.09,0
156,100.09,0
157,100.09,0
158,100.09,0
159,100.09,0
160,100.09,0
161,100.09,0
162,100.09,0
163,100.09,0
164,100.09,0
165,100.09,0
166,100.09,0
167,100.09,0
168,100.09,0
169,100.09,0
170,100.09,0
171,100.09,0
172,100.09,0
173,100.09,0
174,100.09,0
175,100.09,0
176,100.09,0
177,100.09,0
178,100.09,0
179,100.09,0
180,100.09,0
181,100.09,0
182,100.09,0
183,100.09,0
184,100.09,0
185,100.09,0
186,100.09,0
187,100.09,0
188,100.09,1186.0
189,100.09,0
190,100.09,0
191,100.09,0
192,100.09,0
193,100.09,0
194,100.09,1210.0
195,100.09,0
196,100.11,29.0
197,100.11,0
198,100.11,0
199,100.11,0
200,100.11,0
201,100.11,0
202,100.11,0
203,100.11,0
204,100.11,0
205,100.11,0
206,100.11,0
207,100.11,0
208,100.11,0
209,100.11,0
210,100.11,0
211,100.11,0
212,100.11,0
213,100.11,0
214,100.11,0
215,100.11,0
216,100.11,0
217,100.11,0
218,100.11,0
219,100.11,0
220,100.11,0
221,100.11,0
222,100.11,0
223,100.15,1202.0
224,100.15,0
225,100.15,0
226,100.15,0
227,100.15,0
228,100.15,0
229,100.15,0
230,100.15,0
231,100.15,0
232,100.15,0
233,100.15,0
234,100.15,0
235,100.15,0
236,100.15,0
237,100.15,0
238,100.15,0
239,100.15,0
240,100.15,0
241,100.15,0
242,100.15,0
243,100.15,0
244,100.15,0
245,100.15,0
246,100.15,0
247,100.15,0
248,100.15,0
249,100.15,0
250,100.15,0
251,100.15,0
252,100.15,0
253,100.15,0
254,100.15,0
255,100.15,0
256,100.15,0
257,100.08,3.0
258,100.08,0
259,100.08,0
260,100.08,0
261,100.08,0
262,100.08,0
263,100.08,0
264,100.08,0
265,100.08,0
266,100.08,0
267,100.08,0
268,100.08,0
269,100.08,0
270,100.08,0
271,100.08,1.0
272,100.08,0
273,100.08,0
274,100.08,0
275,100.08,0
276,100.08,0
277,100.08,0
278,100.08,0
279,100.08,0
280,100.08,0
281,100.08,0
282,100.08,0
283,100.08,0
284,100.08,0
285,100.08,0
286,100.08,0
287,100.08,0
288,100.08,0
289,100.08,0
290,100.08,0
291,100.05,1107.0
292,100.05,0
293,100.05,0
294,100.05,0
295,100.05,0
296,100.05,0
297,100.05,0
298,100.05,0
299,100.05,0
300,100.05,0
301,100.05,0
302,100.05,0
303,100.05,0
304,100.06,1098.0
305,100.06,0
306,100.06,0
307,100.06,0
308,100.06,0
309,100.06,0
310,100.06,0
311,100.06,0
312,100.06,0
313,100.06,0
314,100.06,0
315,100.06,0
316,100.06,0
317,100.06,0
318,100.06,0
319,100.06,0
320,100.06,0
321,100.06,0
322,100.06,0
323,100.06,0
324,100.06,0
325,100.06,0
326,100.06,0
327,100.06,0
328,100.06,0
329,100.06,0
330,100.06,0
331,100.06,0
332,100.06,0
333,100.06,0
334,100.06,0
335,100.06,0
336,100.06,0
337,100.06,0
338,100.06,0
339,100.06,0
340,100.06,0
341,100.06,0
342,100.06,0
343,100.06,0
344,100.04,1182.0
345,100.04,0
346,100.04,0
347,100.04,0
348,100.04,0
349,100.04,0
350,100.04,0
351,100.04,0
352,100.04,0
353,100.04,0
354,100.04,0
355,100.04,0
356,100.04,0
357,100.04,0
358,100.04,0
359,100.04,0
360,100.04,0
361,100.04,0
362,100.04,0
363,100.04,0
364,100.04,0
365,100.04,0
366,100.04,0
367,100.04,0
368,100.04,0
369,100.04,0
370,100.04,0
371,100.04,0
372,100.04,0
373,100.04,0
374,100.04,0
375,100.04,0
376,100.04,0
377,100.04,0
378,100.04,0
379,100.04,0
380,100.04,0
381,100.04,0
382,100.04,0
383,100.04,0
384,100.04,0
385,100.11,88.0
386,100.11,0
387,100.11,0
388,100.11,0
389,100.11,0
390,100.11,0
391,100.11,0
392,100.11,0
393,100.11,0
394,100.11,0
395,100.11,0
396,100.11,0
397,100.11,0
398,100.11,0
399,100.11,0
400,100.11,0
401,100.11,0
402,100.11,0
403,100.11,0
404,100.11,0
405,100.11,0
406,100.11,0
407,100.11,0
408,100.11,0
409,100.11,0
410,100.11,0
411,100.11,0
412,100.11,0
413,100.11,0
414,100.11,0
415,100.11,0
416,100.11,0
417,100.15,1178.0
418,100.15,0
419,100.15,0
420,100.15,0
421,100.15,0
422,100.15,0
423,100.15,0
424,100.15,0
425,100.15,0
